ngc,ra,dec
N0546,20.741,-38.32897222
N0547,20.86489583,-1.604836111
N0548,20.87225,-1.485555556
N0549,20.71691667,-38.26725
N0550,21.03283333,1.762805556
N0551,21.20133333,36.92394444
N0552:,20.83558333,33.14633333
N0553:,20.8455,33.14563889
N0554n,21.19233333,-22.98291667
N0554n+s,21.1875,-22.98333333
N0554s,21.19245833,-22.98486111
N0555,21.2012,-23.02130833
N0556,21.20559583,-22.9567
N0557=I1703,20.96708333,-1.898222222
N0558,21.18012083,-2.230311111
N0559,21.52916667,63.03358333
N0560,21.21870833,-2.172333333
N0561,21.36758333,34.04983333
N0562,21.36604167,48.12855556
N0563=N0539,20.733,-18.42386389
N0564,21.31354167,-2.138222222
N0565,21.404125,-1.564916667
N0566,21.55629167,32.07380556
N0567,21.13815833,-10.52457222
N0568=I1709,21.42083333,-35.97611111
N0569,21.61933333,10.87280556
N0570,21.60566667,-1.207694444
N0571,21.77654167,32.24302778
N0572,21.59625,-39.56527778
N0573,21.97233333,40.99963889
N0574,21.69666667,-35.85666667
N0575=I1710,22.01191667,21.18241667
N0576,21.73,-51.85666667
N0577=N0580,22.032875,-2.252138889
N0578,22.02291667,-22.92388889
N0579,22.23245833,33.35844444
N0580=N0577,22.032875,-2.252138889
N0581,22.5125,60.3835
N0582,22.28070833,33.21908333
N0583,21.82854167,-18.59766667
N0584=I1712,22.20883333,-7.125277778
N0585,22.287125,-1.189944444
N0586,22.276125,-7.150805556
N0587,22.42245833,35.10169444
N0588,22.48541667,30.3925
N0589,22.5490375,-12.29943333
N0590,22.67179167,44.67258333
N0591,22.66204167,35.41191667
N0592,22.59583333,30.38972222
N0593,22.46958333,-12.6125
N0594,22.62833333,-16.79111111
N0595,22.68625,30.43583333
N0596,22.58958333,-7.288611111
N0597,22.4925,-33.75444444
N0598,22.75729167,30.40408333
N0599,22.60720833,-12.4475
N0600,22.64583333,-7.568333333
N0601,22.66059583,-12.46525556
N0602,22.075,-73.81666667
N0603,22.97875,29.97638889
N0604,22.93079167,30.52811111
N0605,23.02270833,40.99238889
N0606,23.02575,21.16205556
N0607,22.94208333,-7.668055556
N0608=N0618??,23.1535,33.40141667
N0609,23.225,64.28333333
N0610,22.75375,-20.4
N0611,22.75375,-20.38333333
N0612,22.93208333,-36.74883333
N0613,22.99741667,-29.67369444
N0614=N0627=N0618?,23.253125,33.42636111
N0615,23.14708333,-7.595833333
N0616,23.30291667,33.515
N0617,22.88911667,-10.03001111
N0618?=N0614=N0627,23.253125,33.42636111
N0618??=N0608,23.1535,33.40141667
N0619,23.15791667,-36.74416667
N0620,23.50629167,42.06763889
N0621,23.483875,35.25738889
N0622,23.3585,-0.408777778
N0623,23.21791667,-36.74527778
N0624,23.3425,-10.25805556
N0625,23.22791667,-41.6925
N0626,23.25,-39.4025
N0627=N0614=N0618?,23.253125,33.42636111
N0628,23.50208333,#VALUE!
N0629,23.73541667,72.61305556
N0630,23.35416667,-39.61416667
N0631,23.54425417,5.580630556
N0632,23.67095833,5.623
N0633,23.54416667,-37.57722222
N0634,23.85566667,35.11102778
N0635,23.982375,-23.18272222
N0636,24.15175,-7.765972222
N0637,24.87916667,63.78341667
N0638,24.25275,6.983888889
N0639,24.17170833,-30.17863889
N0640,24.23291667,-9.654722222
N0641,24.12875,-42.78083333
N0642,24.20291667,-30.16861111
N0643,23.55166667,-75.81166667
N0643A,22.45,-76.30019444
N0643B,24.59916667,-75.26472222
N0643C,25.27083333,-75.52083333
N0644,24.18666667,-42.83861111
N0645,24.38458333,5.473666667
N0646,23.94341667,-65.14966667
N0646 comp,23.97916667,-65.15
N0647,24.3627625,-9.495466667
N0648=I0146,24.0625,-18.08583333
N0649,24.41,-9.525
N0650,24.78625,51.31916667
N0650/51,24.7924375,51.32416667
N0651,24.80208333,51.32805556
N0652,24.5235,7.729941667
N0653,24.88175,35.38652778
N0654,25.13333333,61.63333333
N0655,24.86708333,-13.33444444
N0656,24.91541667,25.89119444
N0657,25.07083333,55.60008333
N0658,24.87379167,12.34977778
N0659,25.24583333,60.41675
N0660,25.089,#VALUE!
N0661,25.35425,28.45522222
N0662,25.414,37.44555556
N0663,25.675,60.98336111
N0664,25.29191667,3.971222222
N0665,25.570875,10.17225
N0666,25.80166667,34.12452778
N0667,25.64875,-23.17083333
N0668,25.86341667,36.2105
N0669,26.08833333,35.31358333
N0670,26.14795833,27.63686111
N0671,26.07745833,12.87588889
N0672,26.26858333,27.18430556
N0672 k2,26.269875,27.18355556
N0672,26.27075,27.18402778
N0672 k1,26.27191667,27.18411111
N0673,26.42795833,11.27291667
N0674=N0697,27.12958333,22.11086111
N0675,26.61616667,12.81119444
N0676,26.58554167,5.658805556
N0677,26.63937083,12.80694444
N0678,26.6625,21.74913889
N0679,26.70079167,35.53736111
N0680,26.75558333,21.72286111
N0681,26.67791667,-10.675
N0682,26.66208333,-15.22305556
N0683,26.77797083,11.45338611
N0684=I0165,26.8515,27.39866667
N0685,26.45333333,-53.01063889
