abell_num,ra,dec
483,64.025,-11.53333333
484,64.075,-7.666666667
485,64.4,4.8
486,65.625,-4.933333333
487,65.7,-24.25
488,66.175,-5.266666667
489,66.6,-4.583333333
490,66.725,-20.7
491,67.375,-5.033333333
492,70.05,76.51666667
493,70.225,73.8
494,67.7,-7.75
495,67.5,-26.36666667
496,68.4,-13.25
497,69.225,10.63333333
498,69.45,21.2
499,69.3,-20.41666667
500,69.725,-22.1
501,70.5,8.4
502,72.6,69.78333333
503,70.35,-17.18333333
504,70.8,6.816666667
505,75.05,80.01666667
506,70.825,-9.7
507,70.8,-18.46666667
508,71.475,2
509,71.925,2.283333333
510,71.7,-21.01666667
511,71.675,-25.41666667
512,71.875,-18.28333333
513,72.05,-9.716666667
514,71.925,-20.43333333
515,72.4,6.166666667
516,72.525,-8.816666667
517,72.625,-9.233333333
518,72.85,-10.71666667
519,73.45,0.683333333
520,73.575,2.95
521,73.55,-10.25
522,74.25,-6.133333333
523,74.75,8.766666667
524,74.45,-19.7
525,74.875,8.133333333
526,74.975,5.433333333
527,77.575,73.7
528,74.825,-9.016666667
529,75.175,6.166666667
530,75.125,-0.866666667
531,75.325,-3.55
532,75.8,11.95
533,75.375,-22.61666667
534,78.825,73.5
535,76.875,-2.583333333
536,76.95,-9.233333333
537,81.175,73.88333333
538,78.825,-15.7
539,79.15,6.45
540,81.375,-25.68333333
541,83.525,64.4
542,84.475,64.03333333
543,82.65,-22.41666667
544,82.725,-25.95
545,83.075,-11.53333333
546,85.625,66.45
547,84.35,-14.41666667
548,86.75,-25.61666667
549,89.15,65.68333333
550,88.15,-21.06666667
551,88.725,-17.75
552,92.35,76.31666667
553,93.15,48.6
554,94.675,67.43333333
555,94.3,-17.25
556,97.15,67.03333333
557,97.575,69.21666667
558,99.7,73.58333333
559,100.025,69.68333333
560,100.75,67.86666667
561,100.975,69.01666667
562,102.975,69.26666667
563,104.475,69.01666667
564,105.175,69.81666667
565,106.85,71.75
566,106.125,63.3
567,105.4,32.83333333
568,106.9,35.03333333
569,107.3,48.61666667
570,109.575,70.48333333
571,109.725,71.88333333
572,108.55,54.66666667
573,109.35,67.53333333
574,110,70.95
575,112.575,79.18333333
576,110.35,55.73333333
577,113.3,78.93333333
578,111.25,66.98333333
579,110.325,36.73333333
580,111.475,41.41666667
581,111.425,11.1
582,112.05,41.96666667
583,112.2,43.03333333
584,112.15,26.68333333
585,112.75,40.85
586,113.075,31.63333333
587,113.25,39.45
588,114.75,69.95
589,115.325,63.48333333
590,114.375,35.26666667
591,115.5,43.96666667
592,115.65,9.366666667
593,118,72.81666667
594,116.2,11.06666667
595,117.2,52.06666667
596,119.175,72.61666667
597,118,35.35
598,117.725,17.65
599,119.375,68.85
0,0,0
600,119.1,63.75
601,118.35,34.31666667
602,118.325,29.35
603,118.95,33.75
604,119.8,61.36666667
605,119.075,27.4
606,119.275,35.95
607,119.375,39.33333333
608,120.55,63.76666667
609,120.575,63.53333333
610,119.825,27.11666667
611,120.25,36.08333333
612,120.25,34.81666667
613,120.625,45.15
614,120.275,17.96666667
615,120.7,31.73333333
616,121.075,46.8
617,123.55,77.31666667
618,122.25,67.55
619,120.65,-2.2
620,121.425,45.68333333
621,122.825,70.01666667
622,121.85,48.01666667
623,121.4,-0.95
624,124.45,76.86666667
625,127.05,82.36666667
626,122.675,49.2
627,122.325,34.71666667
628,122.525,35.21666667
629,123.75,66.43333333
630,122.775,40.31666667
631,122.8,35.96666667
632,122.4,4.916666667
633,123.875,63.75
634,123.65,58.05
635,122.775,16.71666667
636,125.175,72.75
637,123.75,48.38333333
638,123.275,13.43333333
639,124.975,67.91666667
640,124.35,29.71666667
641,123.675,22.63333333
642,124.775,30.05
643,124.9,52.5
644,124.35,-7.583333333
645,125.625,56.56666667
646,125.525,47.1
647,125.1,7.533333333
648,125.55,32.53333333
649,126.05,48.86666667
650,125.625,18.56666667
